ID,ID.j,ID.j.category,ID.j.boundaries,kinship,tension,support.value,support.type
3,2,ego.fisher,inside,no,present,2,Re-selling catch
6,2,ego.fisher,inside,no,absence,3,Assistance with licenses
6,2,ego.fisher,inside,no,absence,3,Fishing more than I can alone
6,2,ego.fisher,inside,no,absence,3,Preparing gear
6,2,ego.fisher,inside,no,absence,3,Selling beyond my usual buyers 
6,2,ego.fisher,inside,no,absence,3,Sharing gear
4,3,ego.fisher,inside,no,present,3,Selling locally
5,3,ego.fisher,inside,no,present,1,Selling beyond my usual buyers 
6,3,ego.fisher,inside,no,absence,3,Selling locally
7,3,ego.fisher,inside,no,present,1,Selling beyond my usual buyers 
11,3,ego.fisher,inside,no,absence,3,Diversifying species that I can catch
11,3,ego.fisher,inside,no,absence,3,Expanding my fishing range
11,3,ego.fisher,inside,no,absence,3,Fishing more than I can alone
11,3,ego.fisher,inside,no,absence,3,Preparing gear
18,3,ego.fisher,inside,no,absence,3,Selling beyond my usual buyers 
52,3,ego.fisher,inside,no,absence,3,Selling locally
1,4,ego.fisher,inside,yes,absence,3,Diversifying species that I can catch
1,4,ego.fisher,inside,yes,absence,3,Sharing gear
3,4,ego.fisher,inside,no,absence,3,Re-selling catch
5,4,ego.fisher,inside,no,absence,1,Diversifying species that I can catch
5,4,ego.fisher,inside,no,absence,3,Fishing more than I can alone
5,4,ego.fisher,inside,no,absence,1,Preparing gear
5,4,ego.fisher,inside,no,absence,3,Sharing gear
5,4,ego.fisher,inside,no,absence,1,Expanding my fishing range
7,4,ego.fisher,inside,no,absence,3,Expanding my fishing range
7,4,ego.fisher,inside,no,absence,3,Fishing more than I can alone
10,4,ego.fisher,inside,no,absence,3,Repairing gear
10,4,ego.fisher,inside,no,absence,3,Sharing gear
18,4,ego.fisher,inside,no,absence,2,Re-selling catch
3,5,ego.fisher,inside,no,absence,3,Re-selling catch
4,5,ego.fisher,inside,no,absence,3,Fishing more than I can alone
4,5,ego.fisher,inside,no,absence,3,Sharing gear
18,5,ego.fisher,inside,no,absence,2,Re-selling catch
58,5,ego.fisher,inside,no,absence,2,Finding lost gear
2,6,ego.fisher,inside,no,absence,3,Fishing more than I can alone
2,6,ego.fisher,inside,no,absence,3,Sharing gear
2,6,ego.fisher,inside,no,absence,3,Diversifying species that I can catch
2,6,ego.fisher,inside,no,absence,3,Expanding my fishing range
2,6,ego.fisher,inside,no,absence,3,Preparing gear
2,6,ego.fisher,inside,no,absence,3,Selling beyond my usual buyers 
2,6,ego.fisher,inside,no,absence,3,Selling locally
3,6,ego.fisher,inside,no,present,2,Re-selling catch
11,6,ego.fisher,inside,no,absence,3,Diversifying species that I can catch
11,6,ego.fisher,inside,no,absence,3,Expanding my fishing range
11,6,ego.fisher,inside,no,absence,3,Fishing more than I can alone
17,6,ego.fisher,inside,no,absence,3,Expanding my fishing range
3,7,ego.fisher,inside,no,absence,3,Re-selling catch
8,7,ego.fisher,inside,yes,absence,3,Expanding my fishing range
8,7,ego.fisher,inside,yes,absence,3,Fishing more than I can alone
8,7,ego.fisher,inside,yes,absence,3,Selling beyond my usual buyers 
8,7,ego.fisher,inside,yes,absence,3,Sharing gear
9,7,ego.fisher,inside,no,absence,3,Fishing more than I can alone
9,7,ego.fisher,inside,no,present,3,Selling beyond my usual buyers 
12,7,ego.fisher,inside,no,absence,1,Sharing fishing knowledge
3,8,ego.fisher,inside,no,absence,3,Re-selling catch
7,8,ego.fisher,inside,yes,absence,3,Fishing more than I can alone
12,8,ego.fisher,inside,no,absence,1,Selling locally
12,8,ego.fisher,inside,no,absence,1,Sharing fishing knowledge
7,9,ego.fisher,inside,yes,present,3,Fishing more than I can alone
3,11,ego.fisher,inside,no,absence,3,Re-selling catch
